orden_key,supplier_key,id,item_key,date_key,qty,net_rate,base_net_amount
PUR-ORD-2023-00973,INTEGRAT0001,7934a440c3,18,2023-03-02,12,7248.48,604.04
,,e2fb2c2c6f,125,2023-03-02,10,5940.4,594.04
,,18645780a2,21,2023-03-02,15,9148.35,609.89
,,f48c674048,128,2023-03-02,10,6504.8,650.48
,,5871baa790,14,2023-03-02,10,6336.5,633.65
PUR-ORD-2023-00972,ELECTRON0002,0266a090de,37,2023-02-28,15,16029.9,1068.66
,,edf447c27c,38,2023-02-28,10,10195.1,1019.51
,,c680dc29ba,195,2023-02-28,9,7524.27,836.03
PUR-ORD-2023-00971,ELECTRON0001,b524980ae4,265,2023-02-27,12,13961.88,1163.49
,,c2a1a56da0,279,2023-02-27,10,11398.7,1139.87
,,b29fc6e55d,36,2023-02-27,15,13694.7,912.98
PUR-ORD-2023-00970,ILLINOIS0001,458cd3824f,147,2023-02-24,15,3609.3,240.62
,,d30e86ad54,149,2023-02-24,15,3215.4,214.36
,,eabbd3f568,150,2023-02-24,15,3358.8,223.92
,,fbc68c746a,261,2023-02-24,10,13302.6,1330.26
,,4a98636ec7,262,2023-02-24,10,10519.7,1051.97
PUR-ORD-2023-00969,ANDERSON0001,0a14664e2c,41,2023-02-22,10,2315.8,231.58
,,b6d3d29783,43,2023-02-22,15,3992.25,266.15
,,9a354d009b,134,2023-02-22,10,2523.1,252.31
,,48a58a5cf1,140,2023-02-22,15,3599.25,239.95
,,b0c8df637f,144,2023-02-22,15,3295.35,219.69
,,b5d6aaf2f9,145,2023-02-22,15,3871.5,258.1
PUR-ORD-2023-00968,PROSE0001,ad140fb92d,247,2023-02-17,12,2893.8,241.15
,,8f8643cd11,251,2023-02-17,10,2388,238.8
,,6f96224cc7,288,2023-02-17,15,3837.9,255.86
,,2de923b029,227,2023-02-17,15,3267.45,217.83
,,3bfe9c5199,39,2023-02-17,15,3382.05,225.47
,,fdbaae6de1,40,2023-02-17,10,2454,245.4
PUR-ORD-2023-00967,PROSE0001,d7b6300c08,141,2023-02-13,10,3178.1,317.81
,,0a3ddc8f8c,34,2023-02-13,10,3607.2,360.72
,,a7bd57583c,217,2023-02-13,15,5093.25,339.55
,,58035a27ad,157,2023-02-13,10,3391.2,339.12
,,1c903b3c4e,172,2023-02-13,10,3088.4,308.84
PUR-ORD-2023-00966,INTERNAT0001,dba2d4e173,193,2023-02-10,10,5041.4,504.14
,,979ce264c0,274,2023-02-10,12,4377.48,364.79
,,54778c497e,32,2023-02-10,10,3805.5,380.55
,,06996920b7,31,2023-02-10,13,5008.12,385.24
,,8cc8d653f2,84,2023-02-10,10,3323.8,332.38
PUR-ORD-2023-00965,ADATUM0001,d3130e9fcb,190,2023-02-08,10,6642.9,664.29
,,6cd8fb2874,62,2023-02-08,10,6262.2,626.22
,,dd9c972eb7,189,2023-02-08,10,5820.2,582.02
,,98a7f3bdec,63,2023-02-08,15,6885,459
PUR-ORD-2023-00964,SUPERSAL0001,160f660eb4,87,2023-02-06,10,6009.2,600.92
,,86a2e7931c,88,2023-02-06,10,6332.9,633.29
,,3b157faad9,236,2023-02-06,15,8099.7,539.98
,,47f5da44f1,238,2023-02-06,10,5210.3,521.03
,,f19838bbc7,239,2023-02-06,10,5550.7,555.07
PUR-ORD-2023-00963,TREYRE0001,ce0bbe27df,90,2023-02-03,12,7133.52,594.46
,,8c2a8c4a47,220,2023-02-03,10,6665.9,666.59
,,ddd96c5037,269,2023-02-03,10,5801,580.1
,,7533ca7b12,221,2023-02-03,10,5350.3,535.03
PUR-ORD-2023-00962,LITWARE0001,d0337acc4f,3,2023-02-01,10,5735.1,573.51
,,0873ea8932,174,2023-02-01,10,7157.2,715.72
,,2ae667faaf,175,2023-02-01,12,8185.08,682.09
,,64a950e13c,270,2023-02-01,10,5516.2,551.62
PUR-ORD-2023-00961,LITWARE0001,f082bd87c4,108,2023-01-30,10,7531.8,753.18
,,d824102be7,6,2023-01-30,10,7023.5,702.35
,,d1db992ad7,12,2023-01-30,12,7152.6,596.05
,,7f452b2e5b,114,2023-01-30,10,5804.2,580.42
PUR-ORD-2023-00960,BUSINESS0001,8362a09380,245,2023-02-20,10,12370.4,1237.04
,,a5f05dcf21,142,2023-02-20,5,12416.9,2483.38
,,b80f714b92,12,2023-02-20,10,5960.5,596.05
PUR-ORD-2023-00959,ELECTRON0001,d36d3889d7,11,2023-02-16,10,16022.1,1602.21
,,56554b173f,110,2023-02-16,4,11142.2,2785.55
,,2d0dff0732,123,2023-02-16,5,13140.3,2628.06
,,0499a67285,184,2023-02-16,10,7069.9,706.99
PUR-ORD-2023-00958,ANDERSON0001,b86874241d,106,2023-01-27,10,5451.9,545.19
,,4e575d4e6c,133,2023-01-27,3,12176.97,4058.99
