fecha_key,fecha,year,mes,dia,nombre_dia,nombre_mes,trimestre,semestre
1,2015-01-01,2015,1,1,Jueves,Enero,1,1
2,2015-01-02,2015,1,2,Viernes,Enero,1,1
3,2015-01-03,2015,1,3,Sábado,Enero,1,1
4,2015-01-04,2015,1,4,Domingo,Enero,1,1
5,2015-01-05,2015,1,5,Lunes,Enero,1,1
6,2015-01-06,2015,1,6,Martes,Enero,1,1
7,2015-01-07,2015,1,7,Miércoles,Enero,1,1
8,2015-01-08,2015,1,8,Jueves,Enero,1,1
9,2015-01-09,2015,1,9,Viernes,Enero,1,1
10,2015-01-10,2015,1,10,Sábado,Enero,1,1
11,2015-01-11,2015,1,11,Domingo,Enero,1,1
12,2015-01-12,2015,1,12,Lunes,Enero,1,1
13,2015-01-13,2015,1,13,Martes,Enero,1,1
14,2015-01-14,2015,1,14,Miércoles,Enero,1,1
15,2015-01-15,2015,1,15,Jueves,Enero,1,1
16,2015-01-16,2015,1,16,Viernes,Enero,1,1
17,2015-01-17,2015,1,17,Sábado,Enero,1,1
18,2015-01-18,2015,1,18,Domingo,Enero,1,1
19,2015-01-19,2015,1,19,Lunes,Enero,1,1
20,2015-01-20,2015,1,20,Martes,Enero,1,1
21,2015-01-21,2015,1,21,Miércoles,Enero,1,1
22,2015-01-22,2015,1,22,Jueves,Enero,1,1
23,2015-01-23,2015,1,23,Viernes,Enero,1,1
24,2015-01-24,2015,1,24,Sábado,Enero,1,1
25,2015-01-25,2015,1,25,Domingo,Enero,1,1
26,2015-01-26,2015,1,26,Lunes,Enero,1,1
27,2015-01-27,2015,1,27,Martes,Enero,1,1
28,2015-01-28,2015,1,28,Miércoles,Enero,1,1
29,2015-01-29,2015,1,29,Jueves,Enero,1,1
30,2015-01-30,2015,1,30,Viernes,Enero,1,1
31,2015-01-31,2015,1,31,Sábado,Enero,1,1
32,2015-02-01,2015,2,1,Domingo,Febrero,1,1
33,2015-02-02,2015,2,2,Lunes,Febrero,1,1
34,2015-02-03,2015,2,3,Martes,Febrero,1,1
35,2015-02-04,2015,2,4,Miércoles,Febrero,1,1
36,2015-02-05,2015,2,5,Jueves,Febrero,1,1
37,2015-02-06,2015,2,6,Viernes,Febrero,1,1
38,2015-02-07,2015,2,7,Sábado,Febrero,1,1
39,2015-02-08,2015,2,8,Domingo,Febrero,1,1
